tx_pdu_id,can_id,message_name,signal_id,wire_field,source_ram,ref_from,ref_type,ref_role,owner_entry,owner_name,owner_body_size,owner_body_sha256
0,0x260,STEER_TORQUE_SENSOR,0,B0[7],0xFEBE8094,0x0004B9D0,WRITE,producer-write,0x0004B9CC,FUN_0004b9cc,10,c8b13ae5a0c69ed6e511e070a27f3b58cad82103c0b9ada9416f993d13a929ff
0,0x260,STEER_TORQUE_SENSOR,0,B0[7],0xFEBE8094,0x0004BCF8,READ,packer-read,0x0004BCEE,application_pack_can_260,306,bc9f9430d8e8f59bf010286e425df101ac480a738ac220455a82a6c4c7636c8b
0,0x260,STEER_TORQUE_SENSOR,0,B0[7],0xFEBE8094,0x00058182,WRITE,default-init-write,0x00057BFE,application_ram_default_init,2054,93d3f00c819c352113902f1d8635111a0cde05bde6d667de4378f678cb0f065b
0,0x260,STEER_TORQUE_SENSOR,1,B0[4],0xFEBE8096,0x0004B6FE,WRITE,producer-write,0x0004B66C,FUN_0004b66c,232,2dbb743c6900c4894670aea1121cd4e192d6812ca5a69709c397d00f83395fec
0,0x260,STEER_TORQUE_SENSOR,1,B0[4],0xFEBE8096,0x0004B7C6,READ,other-read,0x0004B7BA,FUN_0004b7ba,114,dd046afdd6a747b9c6682b805a028642c163532a9cd97a6d3eba8156c1ba6195
0,0x260,STEER_TORQUE_SENSOR,1,B0[4],0xFEBE8096,0x0004BD04,READ,packer-read,0x0004BCEE,application_pack_can_260,306,bc9f9430d8e8f59bf010286e425df101ac480a738ac220455a82a6c4c7636c8b
0,0x260,STEER_TORQUE_SENSOR,1,B0[4],0xFEBE8096,0x00057292,READ,other-read,0x00056FC2,application_rx_signal_consumer_56fc2,1956,c404b97a4e68be4a40040cfb533cd32f2b156f73674b7236e03bdff1ecd8675e
0,0x260,STEER_TORQUE_SENSOR,1,B0[4],0xFEBE8096,0x00058186,WRITE,default-init-write,0x00057BFE,application_ram_default_init,2054,93d3f00c819c352113902f1d8635111a0cde05bde6d667de4378f678cb0f065b
0,0x260,STEER_TORQUE_SENSOR,2,B0[3],0xFEBE8098,0x0004B9C0,WRITE,producer-write,0x0004B976,FUN_0004b976,86,c6b3274f64a22ed3b223ccf5d47d3a66bf8648a84cba118d6b5da6b307f022bc
0,0x260,STEER_TORQUE_SENSOR,2,B0[3],0xFEBE8098,0x0004BD0A,READ,packer-read,0x0004BCEE,application_pack_can_260,306,bc9f9430d8e8f59bf010286e425df101ac480a738ac220455a82a6c4c7636c8b
