source,period_ticks,period_us,derivation,evidence
TAUJ0_CH3_foreground_loop,1,unsupported,Polled foreground tick at EIC136.EIRF (0xFFFFB110 bit 12). The TAUJ0 CH3 timer period is not statically recoverable: REFERENCE/r01ds0505ed0100-rh850p1m-e.pdf is the RH850/P1M-E datasheet (72pp) and contains NO register-level TAUJ0 documentation (no base address 0xFFF90000, no TS/TT/TMR/TDR/TSR layout, no prescaler register). It documents only TAUJ0I0-3/TAUJ0O0-3 pin assignments and the TAUJnIm input pulse-width AC timing (Sec 3.9.5). The TAUJ core (3 modules, Peripheral IP Group 1) runs off the P-Bus at 80 MHz per the block diagram (Fig 1.3), but the timer prescaler divider and the TDR reload value are not statically recoverable from CodeFlash (TAUJ0 setup uses register-indirect/16-bit-displacement addressing the decompiler does not resolve to a named constant). The PLL CPU clock is now proven at 160 MHz (see PLL_clock_frequency), but converting that to a TAUJ0 CH3 tick still requires the prescaler+TDR which cannot be obtained from this datasheet.,verify_architecture.py: foreground loop 0x64FCC polls EIC136; REFERENCE PDF Sec 1.3/3.9.5
TAUJ0_CH0_isr,unsupported,unsupported,TAUJ0 CH0 ISR body at 0x64F18 increments a counter but does not read/write the timer period register. The prescaler and reload value are not statically recoverable; the RH850/P1M-E datasheet (REFERENCE PDF) contains no TAUJ0 register layout (only pin assignments + AC input timing, Sec 3.9.5).,verify_architecture.py: application_tauj0_ch0_body 0x64F18
TAUJ0_CH1_isr,unsupported,unsupported,TAUJ0 CH1 ISR body at 0x64F54 increments a counter but does not read/write the timer period register. The prescaler and reload value are not statically recoverable; the RH850/P1M-E datasheet (REFERENCE PDF) contains no TAUJ0 register layout (only pin assignments + AC input timing, Sec 3.9.5).,verify_architecture.py: application_tauj0_ch1_body 0x64F54
TAUJ0_CH2_isr,unsupported,unsupported,TAUJ0 CH2 ISR body at 0x64F90 increments a counter but does not read/write the timer period register. The prescaler and reload value are not statically recoverable; the RH850/P1M-E datasheet (REFERENCE PDF) contains no TAUJ0 register layout (only pin assignments + AC input timing, Sec 3.9.5).,verify_architecture.py: application_tauj0_ch2_body 0x64F90
CAN_0x260_STEER_TORQUE,4,unsupported,CAN TX cycle_ticks=4 (foreground ticks) from application_tx_map.csv. Absolute period in microseconds remains unsupported: requires the TAUJ0 CH3 foreground-tick period, which is not statically recoverable (TAUJ0 prescaler+TDR absent from CodeFlash and from the RH850/P1M-E datasheet). The PLL CPU clock is proven at 160 MHz but does not by itself yield the foreground tick.,application_tx_map.csv: PDU 0 cycle_ticks=4
CAN_0x262_EPS_STATUS,8,unsupported,CAN TX cycle_ticks=8 foreground ticks. Absolute period unsupported: requires the TAUJ0 CH3 foreground-tick period, which is not statically recoverable (TAUJ0 prescaler+TDR absent from CodeFlash and from the RH850/P1M-E datasheet).,application_tx_map.csv: PDU 1 cycle_ticks=8
CAN_0x394,3,unsupported,CAN TX cycle_ticks=3 foreground ticks. Absolute period unsupported: requires the TAUJ0 CH3 foreground-tick period, which is not statically recoverable (TAUJ0 prescaler+TDR absent from CodeFlash and from the RH850/P1M-E datasheet).,application_tx_map.csv: PDU 2 cycle_ticks=3
CAN_0x351,2,unsupported,CAN TX cycle_ticks=2 foreground ticks. Absolute period unsupported: requires the TAUJ0 CH3 foreground-tick period, which is not statically recoverable (TAUJ0 prescaler+TDR absent from CodeFlash and from the RH850/P1M-E datasheet).,application_tx_map.csv: PDU 3 cycle_ticks=2
CAN_0x4A3,4,unsupported,CAN TX cycle_ticks=4 foreground ticks. Absolute period unsupported: requires the TAUJ0 CH3 foreground-tick period, which is not statically recoverable (TAUJ0 prescaler+TDR absent from CodeFlash and from the RH850/P1M-E datasheet).,application_tx_map.csv: PDU 4 cycle_ticks=4
CAN_0x4C8,196,unsupported,CAN TX cycle_ticks=196 foreground ticks. Absolute period unsupported: requires the TAUJ0 CH3 foreground-tick period, which is not statically recoverable (TAUJ0 prescaler+TDR absent from CodeFlash and from the RH850/P1M-E datasheet).,application_tx_map.csv: PDU 5 cycle_ticks=196
PLL_clock_frequency,unsupported,unsupported,CPU/PLL output frequency = 160 MHz (not a period; recorded for reference). Evidence chain: (1) REFERENCE/r01ds0505ed0100-rh850p1m-e.pdf Sec 1.3 Table 1.1 lists CPU Frequency = 160 MHz and Subsystem = Main OSC = 16 MHz only; (2) Sec 3.4 Oscillator Characteristics: MainOSC frequency fMOSC = 16 MHz (crystal on X1/X2 pins); (3) Sec 3.6 PLL Characteristics: PLL input fPLLICLK = 16 MHz, output fCPLL = 160 MHz (PLL for CPU, i.e. x10 multiplier); (4) Sec 3.18 Thermal Characteristics rates the device at fCPLL = 160MHz as the operating condition. 160 MHz is the ONLY fCPLL value stated anywhere in the datasheet (single fixed operating point). Firmware cross-check: boot_clock_init (0x10C6) writes PLLCTL (0xFFF890C0)=4 to trigger reconfig, polls PLLSTS (0xFFF890C8) until ==4 (lock complete), then writes PLLCFG (0xFFF88818)=0x50 via FUN_00070bd8(0x50). NOTE: the PLLCFG=0x50 bit-field encoding is NOT documented in this datasheet (it is a 72pp datasheet/brief, not the register-level User's Manual), so 0x50 cannot be decoded from register fields here; the 160 MHz value rests on the device's single rated PLL output frequency plus the firmware actively configuring the PLL to the operating clock.,REFERENCE PDF Sec 1.3 Table 1.1 (160 MHz); Sec 3.4 (fMOSC=16 MHz); Sec 3.6 (fCPLL=160 MHz); Sec 3.18 (fCPLL=160MHz); boot_clock_init 0x10C6; FUN_00070bd8(0x50)
